# Constructed from biom file
#OTU ID	SRR504809.fastq.gz	SRR504922.fastq.gz	SRR504940.fastq.gz	SRR504941.fastq.gz	SRR504942.fastq.gz	SRR504943.fastq.gz	SRR504944.fastq.gz	SRR504945.fastq.gz	SRR504960.fastq.gz	SRR504961.fastq.gz	SRR504962.fastq.gz	SRR504963.fastq.gz	SRR504967.fastq.gz	SRR504968.fastq.gz	SRR504971.fastq.gz	SRR504973.fastq.gz	SRR504974.fastq.gz	SRR504975.fastq.gz	SRR504976.fastq.gz	SRR504977.fastq.gz	SRR504978.fastq.gz	SRR504979.fastq.gz	SRR504980.fastq.gz	SRR504981.fastq.gz	SRR504982.fastq.gz	SRR504985.fastq.gz	SRR505002.fastq.gz	SRR505003.fastq.gz	SRR505004.fastq.gz	SRR505005.fastq.gz	SRR505031.fastq.gz	SRR505141.fastq.gz	SRR505144.fastq.gz	SRR505145.fastq.gz	SRR505146.fastq.gz	SRR505147.fastq.gz	SRR505148.fastq.gz	SRR505149.fastq.gz	SRR505150.fastq.gz	SRR505151.fastq.gz	SRR505152.fastq.gz	SRR505153.fastq.gz	SRR505154.fastq.gz	SRR505155.fastq.gz	SRR505156.fastq.gz	SRR505157.fastq.gz	SRR505158.fastq.gz	SRR505159.fastq.gz	SRR505160.fastq.gz	SRR505161.fastq.gz	SRR505162.fastq.gz	SRR505163.fastq.gz	SRR505164.fastq.gz	SRR505165.fastq.gz	SRR505166.fastq.gz	SRR505167.fastq.gz	SRR505168.fastq.gz	SRR505169.fastq.gz	SRR505170.fastq.gz	SRR505171.fastq.gz	SRR505172.fastq.gz	SRR505173.fastq.gz	SRR505174.fastq.gz	SRR505175.fastq.gz	SRR505176.fastq.gz	SRR505177.fastq.gz	SRR505178.fastq.gz	SRR505179.fastq.gz	SRR505180.fastq.gz	SRR505181.fastq.gz	SRR505182.fastq.gz	SRR505183.fastq.gz	SRR505184.fastq.gz	SRR505185.fastq.gz	SRR505186.fastq.gz	SRR505187.fastq.gz	SRR505188.fastq.gz	SRR505189.fastq.gz	SRR505190.fastq.gz	SRR505191.fastq.gz	SRR505192.fastq.gz	SRR505193.fastq.gz	SRR505194.fastq.gz	SRR505195.fastq.gz	SRR505196.fastq.gz	SRR505197.fastq.gz	SRR505198.fastq.gz	SRR505199.fastq.gz	SRR505200.fastq.gz	SRR505201.fastq.gz	SRR505202.fastq.gz	SRR505203.fastq.gz	SRR505204.fastq.gz	SRR505205.fastq.gz	SRR505206.fastq.gz	SRR505207.fastq.gz	SRR505208.fastq.gz	SRR505209.fastq.gz	SRR505210.fastq.gz	SRR505211.fastq.gz	SRR505212.fastq.gz	SRR505213.fastq.gz	SRR505214.fastq.gz	SRR505215.fastq.gz	SRR505216.fastq.gz	SRR505217.fastq.gz	SRR505218.fastq.gz	SRR505219.fastq.gz	SRR505220.fastq.gz	SRR505221.fastq.gz	SRR505222.fastq.gz	SRR505223.fastq.gz	SRR505224.fastq.gz	SRR505225.fastq.gz	SRR505226.fastq.gz	SRR505227.fastq.gz	SRR505228.fastq.gz	SRR505229.fastq.gz	SRR505230.fastq.gz	SRR505231.fastq.gz	SRR505232.fastq.gz	SRR505233.fastq.gz	SRR505234.fastq.gz	SRR505235.fastq.gz	SRR505236.fastq.gz	SRR505237.fastq.gz	SRR505238.fastq.gz	SRR505239.fastq.gz	SRR505240.fastq.gz	SRR505241.fastq.gz	SRR505242.fastq.gz	SRR505243.fastq.gz	SRR505244.fastq.gz	SRR505245.fastq.gz	SRR505246.fastq.gz	SRR505247.fastq.gz	SRR505248.fastq.gz	SRR505249.fastq.gz	SRR505250.fastq.gz	SRR505251.fastq.gz	SRR505252.fastq.gz	SRR505253.fastq.gz	SRR505254.fastq.gz	SRR505255.fastq.gz	SRR505256.fastq.gz	SRR505257.fastq.gz	SRR505258.fastq.gz	SRR505259.fastq.gz	SRR505260.fastq.gz	SRR505261.fastq.gz	SRR505262.fastq.gz	SRR505263.fastq.gz	SRR505264.fastq.gz	SRR505265.fastq.gz	SRR505266.fastq.gz	SRR505267.fastq.gz	SRR505268.fastq.gz	SRR505269.fastq.gz	SRR505270.fastq.gz	SRR505271.fastq.gz	SRR505272.fastq.gz	SRR505573.fastq.gz
b1ff38b5e29f888d0f0fccb9172339c6	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	56.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	63.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0
4ea25cc86d053891c1ab9b72b51827d4	0.0	0.0	105.0	0.0	37.0	11.0	0.0	25.0	0.0	0.0	59.0	0.0	0.0	68.0	52.0	69.0	34.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	202.0	46.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	29.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	59.0	100.0	0.0	0.0	0.0	123.0	0.0	0.0	44.0	0.0	0.0	138.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	46.0	100.0	27.0	57.0	0.0	0.0	91.0	0.0	86.0	0.0	0.0	0.0	0.0	29.0	66.0	25.0	161.0	71.0	0.0	66.0	0.0	0.0	89.0	0.0	0.0	0.0	48.0	61.0	0.0	89.0	0.0	0.0	0.0	90.0	76.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	192.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	264.0	0.0	38.0	23.0	0.0	57.0	35.0	0.0	0.0	0.0	0.0
b848d5239836b5e43c978609341c4ad3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	239.0	0.0	0.0	0.0	0.0	0.0	0.0	569.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d968aad3ae7e6126a2c08e85d9e9db6a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0b69f7ab3967ece0f539696c9437022c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	60.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47519d326c88575b2c7628395900eac1	99.0	190.0	120.0	82.0	217.0	68.0	91.0	109.0	93.0	89.0	86.0	81.0	46.0	53.0	67.0	132.0	75.0	140.0	30.0	200.0	171.0	79.0	201.0	119.0	81.0	91.0	84.0	0.0	20.0	121.0	0.0	63.0	171.0	79.0	101.0	133.0	0.0	0.0	128.0	84.0	94.0	47.0	261.0	0.0	0.0	68.0	29.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	176.0	149.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	126.0	137.0	0.0	0.0	107.0	150.0	0.0	351.0	468.0	0.0	234.0	153.0	435.0	59.0	0.0	221.0	180.0	129.0	69.0	227.0	0.0	0.0	157.0	360.0	296.0	0.0	94.0	93.0	0.0	0.0	78.0	71.0	145.0	175.0	148.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	652.0	202.0	38.0	59.0	0.0	98.0	0.0	35.0	141.0	0.0	0.0	0.0	0.0	399.0	0.0	0.0	24.0	0.0	33.0	11.0	118.0	309.0	0.0	0.0	35.0	126.0	0.0	0.0	181.0	111.0	187.0	0.0	39.0	0.0	0.0	0.0	0.0	70.0	100.0	48.0	198.0	0.0	0.0
037a60dc3879706d9129d6e4df33f726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	60.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d2b53437dc067244ecc100e3535ba757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0	0.0	0.0	0.0	30.0	0.0	38.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
980cb4eb46d63f498241d35746b07f5f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.0	0.0	122.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	251.0	0.0	0.0	0.0	125.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.0	55.0	0.0	0.0	0.0	0.0	98.0	242.0	0.0	0.0	0.0	0.0	144.0	0.0	0.0	0.0	0.0	0.0	175.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ebe7c1b9eef3d96c8df8ba7f9d1820ca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	0.0	182.0	100.0	163.0	92.0	119.0	138.0	0.0	61.0	109.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
